method,dataset,landmarks,accuracy,distortion,bits/coord
grid,../datasets/sift,10,0.646,1.01285,0.8
grid,../datasets/sift,12,0.6997,1.00896,0.916667
grid,../datasets/sift,14,0.7363,1.0063,1.71429
grid,../datasets/sift,16,0.771,1.00485,2.9375
grid,../datasets/sift,18,0.7946,1.00387,3.5817
grid,../datasets/sift,20,0.8069,1.00337,4.27105
grid,../datasets/sift,22,0.8296,1.00253,5.5303
grid,../datasets/sift,24,0.836,1.00211,6.78393
grid,../datasets/sift,26,0.851,1.00193,8.41333
grid,../datasets/sift,11,0.6813,1.0103,0.818182
grid,../datasets/sift,13,0.7181,1.00766,1.15385
grid,../datasets/sift,15,0.755,1.00568,2.06667
grid,../datasets/sift,17,0.7825,1.00425,2.85294
