size,lambda,depth,dataset,B,accuracy,distortion,dim,aspectRatio,blocks
1.170430194E9,1,10,../datasets/clusters,-1.170430194E9,0.4286,1.01832,128,0.0,32,
1.255076422E9,2,10,../datasets/clusters,-1.255076422E9,0.9131,1.00019,128,0.0,32,
1.280219074E9,3,10,../datasets/clusters,-1.280219074E9,0.9529,1.00006,128,0.0,32,
1.283473199E9,4,10,../datasets/clusters,-1.283473199E9,0.9619,1.00004,128,0.0,32,
1.283882538E9,5,10,../datasets/clusters,-1.283882538E9,0.9594,1.00004,128,0.0,32,
1.283920688E9,6,10,../datasets/clusters,-1.283920688E9,0.9627,1.00003,128,0.0,32,
1.283913767E9,7,10,../datasets/clusters,-1.283913767E9,0.9654,1.00003,128,0.0,32,
1.283920135E9,8,10,../datasets/clusters,-1.283920135E9,0.964,1.00003,128,0.0,32,
1.283919097E9,9,10,../datasets/clusters,-1.283919097E9,0.9652,1.00003,128,0.0,32,
1.6000609E8,1,2,../datasets/clusters,-1.6000609E8,5.0E-4,1.22656,128,0.0,32,
2.24026684E8,1,3,../datasets/clusters,-2.24026684E8,0.0028,1.18121,128,0.0,32,
2.2402729E8,2,3,../datasets/clusters,-2.2402729E8,0.0029,1.17541,128,0.0,32,
3.03140193E8,1,4,../datasets/clusters,-3.03140193E8,0.0265,1.10251,128,0.0,32,
3.09142909E8,2,4,../datasets/clusters,-3.09142909E8,0.0328,1.09542,128,0.0,32,
3.02141656E8,3,4,../datasets/clusters,-3.02141656E8,0.0344,1.09777,128,0.0,32,
3.84969236E8,1,5,../datasets/clusters,-3.84969236E8,0.1204,1.05166,128,0.0,32,
3.84976546E8,2,5,../datasets/clusters,-3.84976546E8,0.2256,1.03169,128,0.0,32,
3.84977022E8,3,5,../datasets/clusters,-3.84977022E8,0.2212,1.03189,128,0.0,32,
3.84977069E8,4,5,../datasets/clusters,-3.84977069E8,0.2193,1.03189,128,0.0,32,
4.87423583E8,1,6,../datasets/clusters,-4.87423583E8,0.2364,1.03384,128,0.0,32,
4.87475006E8,2,6,../datasets/clusters,-4.87475006E8,0.4992,1.00877,128,0.0,32,
4.8748482E8,3,6,../datasets/clusters,-4.8748482E8,0.4992,1.00869,128,0.0,32,
4.87483814E8,4,6,../datasets/clusters,-4.87483814E8,0.508,1.00853,128,0.0,32,
4.87486531E8,5,6,../datasets/clusters,-4.87486531E8,0.5019,1.00847,128,0.0,32,
6.25164257E8,1,7,../datasets/clusters,-6.25164257E8,0.5975,1.00696,128,0.0,32,
6.25552228E8,2,7,../datasets/clusters,-6.25552228E8,0.7333,1.00207,128,0.0,32,
6.25584611E8,3,7,../datasets/clusters,-6.25584611E8,0.7254,1.00216,128,0.0,32,
6.25596613E8,4,7,../datasets/clusters,-6.25596613E8,0.7264,1.00211,128,0.0,32,
6.25602173E8,5,7,../datasets/clusters,-6.25602173E8,0.7211,1.00217,128,0.0,32,
6.25599564E8,6,7,../datasets/clusters,-6.25599564E8,0.7244,1.00219,128,0.0,32,
8.39386379E8,1,8,../datasets/clusters,-8.39386379E8,0.4795,1.01349,128,0.0,32,
8.42731427E8,2,8,../datasets/clusters,-8.42731427E8,0.8544,1.00058,128,0.0,32,
8.43100449E8,3,8,../datasets/clusters,-8.43100449E8,0.8532,1.00055,128,0.0,32,
8.43162087E8,4,8,../datasets/clusters,-8.43162087E8,0.852,1.00054,128,0.0,32,
8.43159491E8,5,8,../datasets/clusters,-8.43159491E8,0.8577,1.00052,128,0.0,32,
8.43158026E8,6,8,../datasets/clusters,-8.43158026E8,0.8591,1.00052,128,0.0,32,
8.43184124E8,7,8,../datasets/clusters,-8.43184124E8,0.8508,1.00057,128,0.0,32,
1.031156733E9,1,9,../datasets/clusters,-1.031156733E9,0.3162,1.02614,128,0.0,32,
1.056645663E9,2,9,../datasets/clusters,-1.056645663E9,0.9114,1.00022,128,0.0,32,
1.059942053E9,3,9,../datasets/clusters,-1.059942053E9,0.9227,1.00015,128,0.0,32,
1.060288411E9,4,9,../datasets/clusters,-1.060288411E9,0.9255,1.00014,128,0.0,32,
1.060364347E9,5,9,../datasets/clusters,-1.060364347E9,0.9221,1.00014,128,0.0,32,
1.060381955E9,6,9,../datasets/clusters,-1.060381955E9,0.9277,1.00014,128,0.0,32,
1.060352618E9,7,9,../datasets/clusters,-1.060352618E9,0.928,1.00013,128,0.0,32,
1.06036319E9,8,9,../datasets/clusters,-1.06036319E9,0.9244,1.00013,128,0.0,32,
