method,size,lambda,depth,dataset,B,accuracy,distortion,dim,aspectRatio,blocks
qsr,128863995,1,2,../datasets/clusters,1.00675,0.0004,1.2243,128,0,2
qsr,195987869,1,3,../datasets/clusters,1.53116,0.0011,1.22049,128,0,2
qsr,231925358,2,3,../datasets/clusters,1.81192,0.0042,1.1759,128,0,2
qsr,202528380,1,4,../datasets/clusters,1.58225,0.0013,1.2256,128,0,2
qsr,327422833,2,4,../datasets/clusters,2.55799,0.0148,1.13104,128,0,2
qsr,359937326,3,4,../datasets/clusters,2.81201,0.034,1.09868,128,0,2
qsr,205548123,1,5,../datasets/clusters,1.60584,0.0014,1.2096,128,0,2
qsr,335906786,2,5,../datasets/clusters,2.62427,0.0219,1.11934,128,0,2
qsr,462985238,3,5,../datasets/clusters,3.61707,0.1232,1.05498,128,0,2
qsr,503761958,4,5,../datasets/clusters,3.93564,0.2199,1.03298,128,0,2
qsr,213164197,1,6,../datasets/clusters,1.66535,0.0009,1.22154,128,0,2
qsr,341492429,2,6,../datasets/clusters,2.66791,0.0204,1.12724,128,0,2
qsr,467313763,3,6,../datasets/clusters,3.65089,0.1614,1.04373,128,0,2
qsr,594929516,4,6,../datasets/clusters,4.64789,0.3852,1.01561,128,0,2
qsr,654055113,5,6,../datasets/clusters,5.10981,0.503,1.00874,128,0,2
qsr,213169338,1,7,../datasets/clusters,1.66539,0.001,1.21995,128,0,2
qsr,347210936,2,7,../datasets/clusters,2.71259,0.0191,1.12738,128,0,2
qsr,474978807,3,7,../datasets/clusters,3.71077,0.115,1.05555,128,0,2
qsr,605190819,4,7,../datasets/clusters,4.72805,0.3867,1.01555,128,0,2
qsr,729849626,5,7,../datasets/clusters,5.70195,0.6343,1.00417,128,0,2
qsr,773497594,6,7,../datasets/clusters,6.04295,0.7215,1.00216,128,0,2
qsr,220356767,1,8,../datasets/clusters,1.72154,0.0007,1.22434,128,0,2
qsr,347254122,2,8,../datasets/clusters,2.71292,0.0375,1.10337,128,0,2
qsr,478587633,3,8,../datasets/clusters,3.73897,0.1235,1.05723,128,0,2
qsr,608901403,4,8,../datasets/clusters,4.75704,0.4072,1.01444,128,0,2
qsr,736705478,5,8,../datasets/clusters,5.75551,0.65,1.00393,128,0,2
qsr,863657938,6,8,../datasets/clusters,6.74733,0.8151,1.00097,128,0,2
qsr,910524988,7,8,../datasets/clusters,7.11348,0.8465,1.00057,128,0,2
qsr,224319829,1,9,../datasets/clusters,1.7525,0.0015,1.2126,128,0,2
qsr,358184036,2,9,../datasets/clusters,2.79831,0.0167,1.1332,128,0,2
qsr,483320124,3,9,../datasets/clusters,3.77594,0.1228,1.05253,128,0,2
qsr,618995313,4,9,../datasets/clusters,4.8359,0.374,1.0177,128,0,2
qsr,739609655,5,9,../datasets/clusters,5.7782,0.661,1.00356,128,0,2
qsr,873605275,6,9,../datasets/clusters,6.82504,0.8047,1.00107,128,0,2
qsr,1000084701,7,9,../datasets/clusters,7.81316,0.8911,1.00031,128,0,2
