size,lambda,depth,dataset,B,accuracy,distortion,dim,aspectRatio,blocks
2.653309914E9,2,10,../datasets/gist,-2.653309914E9,0.06,1.35684,960,1.4772,16,
3.615532216E9,3,10,../datasets/gist,-3.615532216E9,0.211,1.06752,960,1.4772,16,
4.584277413E9,4,10,../datasets/gist,-4.584277413E9,0.459,1.01626,960,1.4772,16,
5.536623222E9,5,10,../datasets/gist,-5.536623222E9,0.724,1.00338,960,1.4772,16,
6.419142456E9,6,10,../datasets/gist,-6.419142456E9,0.895,1.00044,960,1.4772,16,
7.067546354E9,7,10,../datasets/gist,-7.067546354E9,0.943,1.00011,960,1.4772,16,
7.231023172E9,8,10,../datasets/gist,-7.231023172E9,0.97,1.00004,960,1.4772,16,
7.283481871E9,9,10,../datasets/gist,-7.283481871E9,0.968,1.00004,960,1.4772,16,
1.245643794E9,2,4,../datasets/gist,-1.245643794E9,0.135,1.08308,960,1.4772,16,
1.316565967E9,3,4,../datasets/gist,-1.316565967E9,0.147,1.07322,960,1.4772,16,
2.099778285E9,2,5,../datasets/gist,-2.099778285E9,0.149,1.09219,960,1.4772,16,
2.255282457E9,3,5,../datasets/gist,-2.255282457E9,0.27,1.0381,960,1.4772,16,
2.259051457E9,4,5,../datasets/gist,-2.259051457E9,0.322,1.03183,960,1.4772,16,
2.449860586E9,2,6,../datasets/gist,-2.449860586E9,0.074,1.18406,960,1.4772,16,
3.039173191E9,3,6,../datasets/gist,-3.039173191E9,0.378,1.02571,960,1.4772,16,
3.218491328E9,4,6,../datasets/gist,-3.218491328E9,0.538,1.01066,960,1.4772,16,
3.198903973E9,5,6,../datasets/gist,-3.198903973E9,0.582,1.00806,960,1.4772,16,
2.550943663E9,2,7,../datasets/gist,-2.550943663E9,0.056,1.27087,960,1.4772,16,
3.444820847E9,3,7,../datasets/gist,-3.444820847E9,0.249,1.04987,960,1.4772,16,
4.057461754E9,4,7,../datasets/gist,-4.057461754E9,0.619,1.0069,960,1.4772,16,
4.185608341E9,5,7,../datasets/gist,-4.185608341E9,0.771,1.00202,960,1.4772,16,
4.230494371E9,6,7,../datasets/gist,-4.230494371E9,0.77,1.00237,960,1.4772,16,
2.599759738E9,2,8,../datasets/gist,-2.599759738E9,0.055,1.34155,960,1.4772,16,
3.540710453E9,3,8,../datasets/gist,-3.540710453E9,0.217,1.06125,960,1.4772,16,
4.448483896E9,4,8,../datasets/gist,-4.448483896E9,0.511,1.01253,960,1.4772,16,
5.098063448E9,5,8,../datasets/gist,-5.098063448E9,0.798,1.0017,960,1.4772,16,
5.208073898E9,6,8,../datasets/gist,-5.208073898E9,0.861,1.00055,960,1.4772,16,
5.253272308E9,7,8,../datasets/gist,-5.253272308E9,0.879,1.00048,960,1.4772,16,
2.631752178E9,2,9,../datasets/gist,-2.631752178E9,0.054,1.32328,960,1.4772,16,
3.582094664E9,3,9,../datasets/gist,-3.582094664E9,0.205,1.07093,960,1.4772,16,
4.537495663E9,4,9,../datasets/gist,-4.537495663E9,0.522,1.0131,960,1.4772,16,
5.432515891E9,5,9,../datasets/gist,-5.432515891E9,0.79,1.00205,960,1.4772,16,
6.041205437E9,6,9,../datasets/gist,-6.041205437E9,0.897,1.00039,960,1.4772,16,
6.176257765E9,7,9,../datasets/gist,-6.176257765E9,0.925,1.00017,960,1.4772,16,
6.214126012E9,8,9,../datasets/gist,-6.214126012E9,0.939,1.00012,960,1.4772,16,
5.35300813E8,2,3,../datasets/gist,-5.35300813E8,0.094,1.12263,960,1.4772,16,
