size,lambda,depth,dataset,B,accuracy,distortion,dim,aspectRatio,blocks
6.2721493E7,1,10,../datasets/mnist,1.3333650722789117,0.178,1.18515,784,0.0,2,
6.2421042E7,1,11,../datasets/mnist,1.3269779336734693,0.213,1.16122,784,0.0,2,
6.3001774E7,1,12,../datasets/mnist,1.3393234268707483,0.1973,1.17885,784,0.0,2,
6.4063011E7,1,13,../datasets/mnist,1.361883737244898,0.1513,1.21149,784,0.0,2,
6.3526225E7,1,14,../datasets/mnist,1.3504724702380952,0.205,1.16986,784,0.0,2,
6.3542558E7,1,15,../datasets/mnist,1.3508196853741496,0.2096,1.17,784,0.0,2,
6.3927967E7,1,16,../datasets/mnist,1.3590129039115646,0.2093,1.16699,784,0.0,2,
6.441843E7,1,17,../datasets/mnist,1.369439413265306,0.1915,1.17557,784,0.0,2,
6.4678161E7,1,18,../datasets/mnist,1.374960905612245,0.2049,1.17126,784,0.0,2,
6.5378242E7,1,19,../datasets/mnist,1.3898435799319728,0.1661,1.19578,784,0.0,2,
6.5636915E7,1,20,../datasets/mnist,1.395342580782313,0.1853,1.18443,784,0.0,2,
6.0010628E7,1,2,../datasets/mnist,1.2757361394557822,0.1583,1.19735,784,0.0,2,
5.9982454E7,1,3,../datasets/mnist,1.2751372023809524,0.1836,1.18286,784,0.0,2,
1.14728674E8,2,3,../datasets/mnist,2.438959906462585,0.3151,1.10122,784,0.0,2,
6.0542823E7,1,4,../datasets/mnist,1.2870498086734694,0.1928,1.17522,784,0.0,2,
1.15430913E8,2,4,../datasets/mnist,2.453888456632653,0.3211,1.09974,784,0.0,2,
6.1037263E7,1,5,../datasets/mnist,1.297560863095238,0.1694,1.19621,784,0.0,2,
1.16440415E8,2,5,../datasets/mnist,2.4753489583333335,0.2972,1.10946,784,0.0,2,
6.1426873E7,1,6,../datasets/mnist,1.3058433886054421,0.1821,1.18706,784,0.0,2,
1.15945987E8,2,6,../datasets/mnist,2.4648381590136053,0.3112,1.10309,784,0.0,2,
6.1358505E7,1,7,../datasets/mnist,1.3043899872448979,0.1969,1.17334,784,0.0,2,
1.16569551E8,2,7,../datasets/mnist,2.4780941964285716,0.3265,1.09881,784,0.0,2,
6.1584276E7,1,8,../datasets/mnist,1.3091895408163265,0.2157,1.16229,784,0.0,2,
6.196835E7,1,9,../datasets/mnist,1.3173543792517006,0.1903,1.17871,784,0.0,2,
