size,lambda,depth,dataset,B,accuracy,distortion,dim,aspectRatio,blocks
8.5883836E7,1,10,../datasets/mnist,1.825761819727891,0.1902,1.16861,784,0.0,16,
1.26033998E8,2,10,../datasets/mnist,2.679294175170068,0.5117,1.03912,784,0.0,16,
1.66518818E8,3,10,../datasets/mnist,3.5399408588435373,0.7809,1.00623,784,0.0,16,
2.07112668E8,4,10,../datasets/mnist,4.402905357142857,0.8894,1.00145,784,0.0,16,
2.4650859E8,5,10,../datasets/mnist,5.240403698979592,0.9451,1.00037,784,0.0,16,
2.81492373E8,6,10,../datasets/mnist,5.984106568877551,0.9717,1.00009,784,0.0,16,
3.08593794E8,7,10,../datasets/mnist,6.560242219387755,0.9864,1.00002,784,0.0,16,
3.26044054E8,8,10,../datasets/mnist,6.931208630952381,0.9932,1.00001,784,0.0,16,
3.30723922E8,9,10,../datasets/mnist,7.0306956207483,0.9958,1.0,784,0.0,16,
2.3381161E7,1,2,../datasets/mnist,0.4970484906462585,0.3054,1.108,784,0.0,16,
4.1278112E7,1,3,../datasets/mnist,0.8775108843537415,0.2331,1.13835,784,0.0,16,
4.5520057E7,2,3,../datasets/mnist,0.9676882865646258,0.503,1.04015,784,0.0,16,
5.7450265E7,1,4,../datasets/mnist,1.2213066539115647,0.2011,1.16839,784,0.0,16,
7.3571694E7,2,4,../datasets/mnist,1.5640241071428571,0.5264,1.03693,784,0.0,16,
7.8056894E7,3,4,../datasets/mnist,1.6593727465986394,0.7415,1.00916,784,0.0,16,
6.9653683E7,1,5,../datasets/mnist,1.480733056972789,0.2024,1.15977,784,0.0,16,
9.785221E7,2,5,../datasets/mnist,2.0801915391156465,0.4747,1.04705,784,0.0,16,
1.13754334E8,3,5,../datasets/mnist,2.4182468962585033,0.7576,1.00801,784,0.0,16,
1.18567301E8,4,5,../datasets/mnist,2.5205633715986395,0.861,1.0022,784,0.0,16,
7.6310853E7,1,6,../datasets/mnist,1.6222545280612244,0.2115,1.1502,784,0.0,16,
1.11598709E8,2,6,../datasets/mnist,2.3724215348639457,0.5263,1.0379,784,0.0,16,
1.39056702E8,3,6,../datasets/mnist,2.9561373724489797,0.7685,1.00728,784,0.0,16,
1.55560262E8,4,6,../datasets/mnist,3.3069783588435375,0.8879,1.00146,784,0.0,16,
1.60548098E8,5,6,../datasets/mnist,3.413012287414966,0.932,1.00051,784,0.0,16,
7.9308046E7,1,7,../datasets/mnist,1.6859703656462586,0.1945,1.16588,784,0.0,16,
1.19168786E8,2,7,../datasets/mnist,2.533350042517007,0.4897,1.04353,784,0.0,16,
1.54156873E8,3,7,../datasets/mnist,3.2771444090136055,0.7461,1.00945,784,0.0,16,
1.8143841E8,4,7,../datasets/mnist,3.857109056122449,0.8918,1.00147,784,0.0,16,
1.975602E8,5,7,../datasets/mnist,4.199834183673469,0.9407,1.00038,784,0.0,16,
2.02501481E8,6,7,../datasets/mnist,4.304878422619048,0.9656,1.00012,784,0.0,16,
8.1121048E7,1,8,../datasets/mnist,1.724512074829932,0.2138,1.15318,784,0.0,16,
1.22045926E8,2,8,../datasets/mnist,2.5945137329931973,0.5132,1.03746,784,0.0,16,
1.6158857E8,3,8,../datasets/mnist,3.4351311649659864,0.7443,1.0093,784,0.0,16,
1.96485352E8,4,8,../datasets/mnist,4.176984523809524,0.8922,1.00145,784,0.0,16,
2.23538146E8,5,8,../datasets/mnist,4.75208643707483,0.9442,1.00034,784,0.0,16,
2.39828094E8,6,8,../datasets/mnist,5.098386352040817,0.9714,1.00008,784,0.0,16,
2.4457419E8,7,8,../datasets/mnist,5.19928125,0.9837,1.00003,784,0.0,16,
8.3095788E7,1,9,../datasets/mnist,1.7664920918367346,0.2125,1.151,784,0.0,16,
1.24513226E8,2,9,../datasets/mnist,2.646964838435374,0.4737,1.04659,784,0.0,16,
1.64545138E8,3,9,../datasets/mnist,3.4979833758503402,0.7583,1.0076,784,0.0,16,
