size,lambda,depth,dataset,B,accuracy,distortion,dim,aspectRatio,blocks
8.2046282E7,1,10,../datasets/mnist,1.7441811649659864,0.1572,1.19828,784,0.0,14,
1.22736866E8,2,10,../datasets/mnist,2.6092020833333334,0.4824,1.04452,784,0.0,14,
1.64468528E8,3,10,../datasets/mnist,3.4963547619047617,0.7211,1.01035,784,0.0,14,
2.05389206E8,4,10,../datasets/mnist,4.366267134353741,0.8785,1.00171,784,0.0,14,
2.4661671E8,5,10,../datasets/mnist,5.242702168367347,0.9367,1.00047,784,0.0,14,
2.8428219E8,6,10,../datasets/mnist,6.043413903061224,0.9717,1.00009,784,0.0,14,
3.14803622E8,7,10,../datasets/mnist,6.692253869047619,0.9846,1.00002,784,0.0,14,
3.33681615E8,8,10,../datasets/mnist,7.09357174744898,0.9931,1.00001,784,0.0,14,
3.41166546E8,9,10,../datasets/mnist,7.252690178571428,0.9946,1.0,784,0.0,14,
2.3128461E7,1,2,../datasets/mnist,0.4916764668367347,0.2713,1.12236,784,0.0,14,
4.3047114E7,1,3,../datasets/mnist,0.9151172193877551,0.1878,1.1734,784,0.0,14,
4.9013449E7,2,3,../datasets/mnist,1.0419525722789116,0.4981,1.04149,784,0.0,14,
5.886856E7,1,4,../datasets/mnist,1.2514574829931973,0.172,1.18786,784,0.0,14,
7.8851581E7,2,4,../datasets/mnist,1.6762666028911564,0.443,1.0546,784,0.0,14,
8.4407255E7,3,4,../datasets/mnist,1.7943719175170068,0.7253,1.01025,784,0.0,14,
7.0528965E7,1,5,../datasets/mnist,1.4993402423469389,0.1641,1.18745,784,0.0,14,
1.01426876E8,2,5,../datasets/mnist,2.156183588435374,0.4269,1.05942,784,0.0,14,
1.20741738E8,3,5,../datasets/mnist,2.5667886479591835,0.7064,1.01253,784,0.0,14,
1.27726387E8,4,5,../datasets/mnist,2.715271832482993,0.858,1.00237,784,0.0,14,
7.4992398E7,1,6,../datasets/mnist,1.5942261479591837,0.1602,1.19096,784,0.0,14,
1.13149873E8,2,6,../datasets/mnist,2.4053969600340137,0.449,1.05461,784,0.0,14,
1.44023012E8,3,6,../datasets/mnist,3.0617136904761906,0.7225,1.01087,784,0.0,14,
1.63334095E8,4,6,../datasets/mnist,3.472238414115646,0.8773,1.00177,784,0.0,14,
1.70414582E8,5,6,../datasets/mnist,3.6227589710884356,0.9363,1.00045,784,0.0,14,
7.6984357E7,1,7,../datasets/mnist,1.6365722151360544,0.1483,1.20391,784,0.0,14,
1.17772654E8,2,7,../datasets/mnist,2.5036703656462587,0.4675,1.04756,784,0.0,14,
1.55952992E8,3,7,../datasets/mnist,3.315327210884354,0.7266,1.00974,784,0.0,14,
1.86649912E8,4,7,../datasets/mnist,3.9678977891156464,0.8757,1.00188,784,0.0,14,
2.0602695E8,5,7,../datasets/mnist,4.379824617346939,0.9341,1.00049,784,0.0,14,
2.12797545E8,6,7,../datasets/mnist,4.523757334183673,0.9643,1.00015,784,0.0,14,
7.8363564E7,1,8,../datasets/mnist,1.6658920918367346,0.1651,1.18787,784,0.0,14,
1.1987055E8,2,8,../datasets/mnist,2.5482684948979593,0.4571,1.05258,784,0.0,14,
1.60809385E8,3,8,../datasets/mnist,3.418566857993197,0.7178,1.01151,784,0.0,14,
1.98734264E8,4,8,../datasets/mnist,4.224793027210884,0.8817,1.0018,784,0.0,14,
2.29609467E8,5,8,../datasets/mnist,4.881153635204082,0.9396,1.00041,784,0.0,14,
2.48424791E8,6,8,../datasets/mnist,5.281139264455782,0.9717,1.00009,784,0.0,14,
2.55521826E8,7,8,../datasets/mnist,5.432011607142857,0.9834,1.00003,784,0.0,14,
7.9895763E7,1,9,../datasets/mnist,1.698464349489796,0.1568,1.19828,784,0.0,14,
1.22022869E8,2,9,../datasets/mnist,2.5940235756802723,0.3962,1.06815,784,0.0,14,
1.6291848E8,3,9,../datasets/mnist,3.46340306122449,0.7191,1.01047,784,0.0,14,
2.03573134E8,4,9,../datasets/mnist,4.3276601615646255,0.8792,1.0019,784,0.0,14,
2.41659369E8,5,9,../datasets/mnist,5.137316517857143,0.941,1.00039,784,0.0,14,
2.72013013E8,6,9,../datasets/mnist,5.78258956207483,0.9711,1.00009,784,0.0,14,
2.92040087E8,7,9,../datasets/mnist,6.208335182823129,0.9847,1.00003,784,0.0,14,
2.98368095E8,8,9,../datasets/mnist,6.342859162414966,0.9915,1.00001,784,0.0,14,
1.0725809E8,1,10,../datasets/mnist,2.280146471088435,0.5009,1.04355,784,0.0,28,
1.46474265E8,2,10,../datasets/mnist,3.1138236607142855,0.753,1.00842,784,0.0,28,
1.86429301E8,3,10,../datasets/mnist,3.9632079294217686,0.8828,1.00185,784,0.0,28,
2.24639391E8,4,10,../datasets/mnist,4.775497257653061,0.9461,1.00035,784,0.0,28,
2.58501123E8,5,10,../datasets/mnist,5.4953470025510205,0.9728,1.00009,784,0.0,28,
2.82044645E8,6,10,../datasets/mnist,5.995847045068027,0.9864,1.00002,784,0.0,28,
2.96942056E8,7,10,../datasets/mnist,6.312543707482993,0.9934,1.0,784,0.0,28,
3.01901004E8,8,10,../datasets/mnist,6.417963520408163,0.9954,1.0,784,0.0,28,
3.02535296E8,9,10,../datasets/mnist,6.431447619047619,0.996,1.0,784,0.0,28,
2.1695058E7,1,2,../datasets/mnist,0.46120446428571427,0.3249,1.09304,784,0.0,28,
3.4690443E7,1,3,../datasets/mnist,0.737466900510204,0.4595,1.0509,784,0.0,28,
3.4855835E7,2,3,../datasets/mnist,0.7409828869047619,0.5451,1.033,784,0.0,28,
5.3080115E7,1,4,../datasets/mnist,1.1284038052721088,0.5002,1.04678,784,0.0,28,
5.7920867E7,2,4,../datasets/mnist,1.2313109481292517,0.7225,1.0106,784,0.0,28,
5.8231865E7,3,4,../datasets/mnist,1.237922300170068,0.7538,1.008,784,0.0,28,
7.0279497E7,1,5,../datasets/mnist,1.4940369260204083,0.4882,1.04771,784,0.0,28,
8.5327297E7,2,5,../datasets/mnist,1.8139306335034013,0.7545,1.00846,784,0.0,28,
9.0447735E7,3,5,../datasets/mnist,1.922783482142857,0.8621,1.00232,784,0.0,28,
9.0555222E7,4,5,../datasets/mnist,1.9250684948979593,0.8782,1.00182,784,0.0,28,
8.6670656E7,1,6,../datasets/mnist,1.8424884353741497,0.4933,1.0457,784,0.0,28,
1.10637864E8,2,6,../datasets/mnist,2.3519954081632655,0.7841,1.00649,784,0.0,28,
1.25414967E8,3,6,../datasets/mnist,2.6661345025510204,0.8923,1.00152,784,0.0,28,
1.30660772E8,4,6,../datasets/mnist,2.7776524659863946,0.9315,1.00053,784,0.0,28,
1.31138315E8,5,6,../datasets/mnist,2.7878043154761905,0.9365,1.00046,784,0.0,28,
9.6121948E7,1,7,../datasets/mnist,2.0434087585034013,0.4685,1.04983,784,0.0,28,
1.29963545E8,2,7,../datasets/mnist,2.762830463435374,0.759,1.00828,784,0.0,28,
1.5370089E8,3,7,../datasets/mnist,3.267450892857143,0.8866,1.00164,784,0.0,28,
1.68942755E8,4,7,../datasets/mnist,3.591470131802721,0.9427,1.00039,784,0.0,28,
1.73177801E8,5,7,../datasets/mnist,3.6815008715986393,0.965,1.00012,784,0.0,28,
1.7417046E8,6,7,../datasets/mnist,3.7026033163265306,0.9703,1.0001,784,0.0,28,
1.00121149E8,1,8,../datasets/mnist,2.128425786564626,0.48,1.05048,784,0.0,28,
1.39327335E8,2,8,../datasets/mnist,2.961890625,0.7459,1.00925,784,0.0,28,
1.7288704E8,3,8,../datasets/mnist,3.6753197278911562,0.8854,1.00178,784,0.0,28,
1.96744187E8,4,8,../datasets/mnist,4.182486968537415,0.9468,1.00035,784,0.0,28,
2.11290324E8,5,8,../datasets/mnist,4.491716071428572,0.9737,1.00008,784,0.0,28,
2.16718403E8,6,8,../datasets/mnist,4.607108907312925,0.9813,1.00004,784,0.0,28,
2.16960365E8,7,8,../datasets/mnist,4.612252657312925,0.9836,1.00003,784,0.0,28,
1.03027132E8,1,9,../datasets/mnist,2.190202636054422,0.4744,1.05184,784,0.0,28,
1.43343343E8,2,9,../datasets/mnist,3.0472649447278912,0.7608,1.00853,784,0.0,28,
1.8196859E8,3,9,../datasets/mnist,3.8683798894557824,0.8847,1.00176,784,0.0,28,
2.1572726E8,4,9,../datasets/mnist,4.58603869047619,0.9412,1.0004,784,0.0,28,
2.39229812E8,5,9,../datasets/mnist,5.0856677721088435,0.971,1.0001,784,0.0,28,
2.54058241E8,6,9,../datasets/mnist,5.400897980442177,0.987,1.00002,784,0.0,28,
2.59009842E8,7,9,../datasets/mnist,5.506161607142857,0.9904,1.00001,784,0.0,28,
2.59928628E8,8,9,../datasets/mnist,5.52569362244898,0.9929,1.00001,784,0.0,28,
7.0506614E7,1,10,../datasets/mnist,1.498865093537415,0.0684,1.31594,784,0.0,7,
1.15405187E8,2,10,../datasets/mnist,2.4533415603741497,0.1665,1.17404,784,0.0,7,
1.59619273E8,3,10,../datasets/mnist,3.3932668579931975,0.4547,1.04842,784,0.0,7,
2.0414592E8,4,10,../datasets/mnist,4.339836734693877,0.7322,1.0094,784,0.0,7,
2.48643417E8,5,10,../datasets/mnist,5.285786926020408,0.8881,1.00142,784,0.0,7,
2.9145678E8,6,10,../datasets/mnist,6.195934948979592,0.9492,1.0003,784,0.0,7,
3.32200524E8,7,10,../datasets/mnist,7.062085969387755,0.9739,1.00007,784,0.0,7,
3.66325493E8,8,10,../datasets/mnist,7.787531738945578,0.9874,1.00002,784,0.0,7,
3.90241264E8,9,10,../datasets/mnist,8.295945238095237,0.9931,1.0,784,0.0,7,
3.7568633E7,1,2,../datasets/mnist,0.7986529124149659,0.1258,1.2316,784,0.0,7,
5.2532169E7,1,3,../datasets/mnist,1.116755293367347,0.0772,1.30025,784,0.0,7,
7.6648594E7,2,3,../datasets/mnist,1.6294343962585034,0.2132,1.13989,784,0.0,7,
6.1047346E7,1,4,../datasets/mnist,1.297775212585034,0.0746,1.31302,784,0.0,7,
9.5842517E7,2,4,../datasets/mnist,2.0374684736394557,0.1954,1.15366,784,0.0,7,
1.19242357E8,3,4,../datasets/mnist,2.5349140518707483,0.4916,1.04114,784,0.0,7,
6.4949683E7,1,5,../datasets/mnist,1.3807330569727891,0.0696,1.31838,784,0.0,7,
1.05517627E8,2,5,../datasets/mnist,2.243146832482993,0.199,1.14925,784,0.0,7,
1.40255698E8,3,5,../datasets/mnist,2.981626232993197,0.4534,1.05085,784,0.0,7,
1.63195692E8,4,5,../datasets/mnist,3.4692961734693877,0.7765,1.00657,784,0.0,7,
6.6768622E7,1,6,../datasets/mnist,1.4194009778911565,0.0749,1.30534,784,0.0,7,
1.10168039E8,2,6,../datasets/mnist,2.342007631802721,0.1708,1.16885,784,0.0,7,
1.51042171E8,3,6,../datasets/mnist,3.210930505952381,0.471,1.04418,784,0.0,7,
1.85551368E8,4,6,../datasets/mnist,3.944544387755102,0.7385,1.00911,784,0.0,7,
2.08085401E8,5,6,../datasets/mnist,4.423584204931973,0.9031,1.0011,784,0.0,7,
6.8086559E7,1,7,../datasets/mnist,1.4474183460884353,0.0681,1.32401,784,0.0,7,
1.1227239E8,2,7,../datasets/mnist,2.3867429846938775,0.1841,1.15907,784,0.0,7,
1.55400533E8,3,7,../datasets/mnist,3.3035827593537417,0.4201,1.05544,784,0.0,7,
1.96252546E8,4,7,../datasets/mnist,4.172035416666667,0.7219,1.01063,784,0.0,7,
2.30830965E8,5,7,../datasets/mnist,4.907120854591836,0.8887,1.00148,784,0.0,7,
2.55354206E8,6,7,../datasets/mnist,5.428448256802721,0.9515,1.00025,784,0.0,7,
6.8367865E7,1,8,../datasets/mnist,1.4533984906462585,0.0764,1.29545,784,0.0,7,
1.1347277E8,2,8,../datasets/mnist,2.412261267006803,0.1877,1.15812,784,0.0,7,
1.57453772E8,3,8,../datasets/mnist,3.3472315476190477,0.4582,1.04775,784,0.0,7,
2.00551899E8,4,8,../datasets/mnist,4.263433227040816,0.7338,1.00933,784,0.0,7,
2.41496974E8,5,8,../datasets/mnist,5.133864243197279,0.8958,1.00119,784,0.0,7,
2.76203269E8,6,8,../datasets/mnist,5.871668133503402,0.9479,1.0003,784,0.0,7,
2.97948596E8,7,8,../datasets/mnist,6.333941241496599,0.9758,1.00006,784,0.0,7,
6.9759611E7,1,9,../datasets/mnist,1.4829849277210885,0.066,1.31852,784,0.0,7,
1.1405319E8,2,9,../datasets/mnist,2.4246001275510203,0.1996,1.15102,784,0.0,7,
1.58709794E8,3,9,../datasets/mnist,3.3739326955782314,0.4593,1.0473,784,0.0,7,
2.03253182E8,4,9,../datasets/mnist,4.320858460884354,0.7393,1.00923,784,0.0,7,
2.45924874E8,5,9,../datasets/mnist,5.227994770408163,0.8902,1.00139,784,0.0,7,
2.87019482E8,6,9,../datasets/mnist,6.101604634353741,0.9463,1.00031,784,0.0,7,
3.21147772E8,7,9,../datasets/mnist,6.827121003401361,0.9768,1.00006,784,0.0,7,
3.44853816E8,8,9,../datasets/mnist,7.3310760204081635,0.987,1.00002,784,0.0,7,
