method,dataset,landmarks,accuracy,distortion,bits/coord
grid,../datasets/sift,2,0.1128,1.25741,1
grid,../datasets/sift,4,0.3416,1.07069,2
grid,../datasets/sift,8,0.5787,1.02007,3
grid,../datasets/sift,16,0.771,1.00485,4
grid,../datasets/sift,32,0.8771,1.00124,5
grid,../datasets/sift,64,0.9404,1.00029,6
grid,../datasets/sift,128,0.9663,1.00008,7
grid,../datasets/sift,256,0.9855,1.00002,8
grid,../datasets/sift,3,0.2371,1.11914,1.58496
grid,../datasets/sift,6,0.486,1.03337,2.58496
grid,../datasets/sift,12,0.6997,1.00896,3.58496
grid,../datasets/sift,24,0.836,1.00211,4.58496
grid,../datasets/sift,48,0.9208,1.00049,5.58496
grid,../datasets/sift,96,0.958,1.00013,6.58496
grid,../datasets/sift,192,0.9794,1.00003,7.58496
