size,lambda,depth,dataset,B,accuracy,distortion,dim,aspectRatio,blocks
2.30445909E8,1,10,../datasets/sift,1.7825333307549505,0.0765,1.35055,128,0.0,2,
3.59358389E8,2,10,../datasets/sift,2.7796905089727724,0.1814,1.16739,128,0.0,2,
4.94016858E8,3,10,../datasets/sift,3.821293765470297,0.3684,1.06419,128,0.0,2,
6.20672112E8,4,10,../datasets/sift,4.800990965346535,0.6546,1.01213,128,0.0,2,
7.51465216E8,5,10,../datasets/sift,5.81269504950495,0.8158,1.00294,128,0.0,2,
8.78077714E8,6,10,../datasets/sift,6.792061525371287,0.9066,1.0007,128,0.0,2,
1.005720119E9,7,10,../datasets/sift,7.779394484839109,0.9533,1.00017,128,0.0,2,
1.13122208E9,8,10,../datasets/sift,8.750170792079208,0.9736,1.00005,128,0.0,2,
1.227253747E9,9,10,../datasets/sift,9.49298999845297,0.9887,1.00001,128,0.0,2,
1.66697879E8,1,2,../datasets/sift,1.2894328511757425,0.067,1.38048,128,0.0,2,
1.94212915E8,1,3,../datasets/sift,1.5022657410272278,0.0742,1.3475,128,0.0,2,
2.95342654E8,2,3,../datasets/sift,2.2845192914603962,0.1697,1.18679,128,0.0,2,
2.05213108E8,1,4,../datasets/sift,1.5873538675742573,0.0635,1.39228,128,0.0,2,
3.33305019E8,2,4,../datasets/sift,2.5781638227103962,0.1351,1.22586,128,0.0,2,
4.29282245E8,3,4,../datasets/sift,3.320561919863861,0.4131,1.05094,128,0.0,2,
2.08013273E8,1,5,../datasets/sift,1.6090135597153465,0.0657,1.38669,128,0.0,2,
3.38910983E8,2,5,../datasets/sift,2.621526786819307,0.175,1.18118,128,0.0,2,
4.66429302E8,3,5,../datasets/sift,3.6078999226485147,0.3471,1.07187,128,0.0,2,
5.73219427E8,4,5,../datasets/sift,4.433937399443069,0.6413,1.01384,128,0.0,2,
2.17877605E8,1,6,../datasets/sift,1.6853156327351486,0.0544,1.42201,128,0.0,2,
3.43471462E8,2,6,../datasets/sift,2.656802769183168,0.1628,1.19664,128,0.0,2,
4.72111029E8,3,6,../datasets/sift,3.6518489248143564,0.3908,1.05651,128,0.0,2,
6.00228334E8,4,6,../datasets/sift,4.642855306311882,0.6211,1.01549,128,0.0,2,
6.99478651E8,5,6,../datasets/sift,5.41057124845297,0.8001,1.00353,128,0.0,2,
2.20481936E8,1,7,../datasets/sift,1.70546051980198,0.0574,1.41652,128,0.0,2,
3.49989611E8,2,7,../datasets/sift,2.707221619740099,0.174,1.19076,128,0.0,2,
4.79315099E8,3,7,../datasets/sift,3.7075734761757424,0.4206,1.0532,128,0.0,2,
6.07531772E8,4,7,../datasets/sift,4.699348483910891,0.6338,1.01418,128,0.0,2,
7.31149994E8,5,7,../datasets/sift,5.655553790222772,0.8133,1.00296,128,0.0,2,
8.28213915E8,6,7,../datasets/sift,6.4063576345915845,0.9063,1.00069,128,0.0,2,
2.2191524E8,1,8,../datasets/sift,1.716547339108911,0.0741,1.35888,128,0.0,2,
3.50937687E8,2,8,../datasets/sift,2.7145551284034655,0.1993,1.15344,128,0.0,2,
4.83939529E8,3,8,../datasets/sift,3.7433441290222773,0.3963,1.05409,128,0.0,2,
6.1240886E8,4,8,../datasets/sift,4.7370734839108914,0.6397,1.01395,128,0.0,2,
7.43519652E8,5,8,../datasets/sift,5.751234931930693,0.7784,1.00425,128,0.0,2,
8.64800409E8,6,8,../datasets/sift,6.689359599319307,0.906,1.0007,128,0.0,2,
9.59028928E8,7,8,../datasets/sift,7.418231188118812,0.9557,1.00015,128,0.0,2,
2.30598621E8,1,9,../datasets/sift,1.7837145807549506,0.0508,1.43081,128,0.0,2,
3.56758024E8,2,9,../datasets/sift,2.7595762995049506,0.1747,1.17898,128,0.0,2,
4.86263824E8,3,9,../datasets/sift,3.761322896039604,0.4124,1.05138,128,0.0,2,
6.18239791E8,4,9,../datasets/sift,4.782176601175743,0.6558,1.01234,128,0.0,2,
7.44635545E8,5,9,../datasets/sift,5.759866530012376,0.8023,1.0034,128,0.0,2,
8.72470826E8,6,9,../datasets/sift,6.748691413985148,0.9138,1.0006,128,0.0,2,
9.98611098E8,7,9,../datasets/sift,7.724405151608911,0.9485,1.00019,128,0.0,2,
1.103238609E9,8,9,../datasets/sift,8.533714487933167,0.9754,1.00005,128,0.0,2,
9.88009465E8,1,10,../datasets/sift,7.642399945853961,0.4266,1.05621,128,0.0,32,
1.051555896E9,2,10,../datasets/sift,8.133941027227722,0.967,1.00009,128,0.0,32,
1.083239906E9,3,10,../datasets/sift,8.379021550123763,0.9811,1.00002,128,0.0,32,
1.090938463E9,4,10,../datasets/sift,8.438571031868811,0.9889,1.00001,128,0.0,32,
1.093089135E9,5,10,../datasets/sift,8.455206799195544,0.9906,1.00001,128,0.0,32,
1.092154651E9,6,10,../datasets/sift,8.447978426670792,0.9896,1.00001,128,0.0,32,
1.092403944E9,7,10,../datasets/sift,8.449906745049505,0.99,1.00001,128,0.0,32,
1.09195578E9,8,10,../datasets/sift,8.446440129950496,0.99,1.00001,128,0.0,32,
1.091787003E9,9,10,../datasets/sift,8.445134614789604,0.9891,1.00001,128,0.0,32,
1.65647686E8,1,2,../datasets/sift,1.2813094523514852,0.0738,1.35139,128,0.0,32,
2.47490679E8,1,3,../datasets/sift,1.9143771581064357,0.1974,1.14636,128,0.0,32,
2.47491796E8,2,3,../datasets/sift,1.9143857982673267,0.2402,1.11792,128,0.0,32,
3.45705287E8,1,4,../datasets/sift,2.6740817373143564,0.3265,1.0776,128,0.0,32,
3.46725366E8,2,4,../datasets/sift,2.681972199876238,0.4603,1.03901,128,0.0,32,
3.45712904E8,3,4,../datasets/sift,2.6741406559405942,0.4951,1.03207,128,0.0,32,
4.44707787E8,1,5,../datasets/sift,3.4398807781559406,0.4056,1.05479,128,0.0,32,
4.45697784E8,2,5,../datasets/sift,3.447538551980198,0.7131,1.00805,128,0.0,32,
4.44711004E8,3,5,../datasets/sift,3.4399056621287127,0.7136,1.008,128,0.0,32,
