method,size,lambda,depth,dataset,B,accuracy,distortion,dim,aspectRatio,blocks
qsr,59300944,1,2,../datasets/mnist,1.08056,0.0745,1.32902,784,0,2
qsr,59937634,1,3,../datasets/mnist,1.09216,0.0408,1.41553,784,0,2
qsr,114325591,2,3,../datasets/mnist,2.08319,0.2406,1.1334,784,0,2
qsr,60922279,1,4,../datasets/mnist,1.1101,0.029,1.47547,784,0,2
qsr,115244603,2,4,../datasets/mnist,2.09994,0.2171,1.14719,784,0,2
qsr,169709990,3,4,../datasets/mnist,3.09238,0.5453,1.03443,784,0,2
qsr,61120897,1,5,../datasets/mnist,1.11372,0.0383,1.45096,784,0,2
qsr,115614386,2,5,../datasets/mnist,2.10668,0.2168,1.15021,784,0,2
qsr,170679170,3,5,../datasets/mnist,3.11004,0.5178,1.03921,784,0,2
qsr,225024837,4,5,../datasets/mnist,4.10031,0.7599,1.00892,784,0,2
qsr,61077715,1,6,../datasets/mnist,1.11293,0.0438,1.41222,784,0,2
qsr,115968974,2,6,../datasets/mnist,2.11314,0.2216,1.14436,784,0,2
qsr,171218421,3,6,../datasets/mnist,3.11987,0.5435,1.03552,784,0,2
qsr,226291681,4,6,../datasets/mnist,4.12339,0.7574,1.00853,784,0,2
qsr,280555249,5,6,../datasets/mnist,5.11216,0.8852,1.0017,784,0,2
qsr,61433552,1,7,../datasets/mnist,1.11942,0.0402,1.43466,784,0,2
qsr,116237093,2,7,../datasets/mnist,2.11802,0.2214,1.14514,784,0,2
qsr,171188770,3,7,../datasets/mnist,3.11933,0.5319,1.03629,784,0,2
qsr,226218806,4,7,../datasets/mnist,4.12206,0.7727,1.00812,784,0,2
qsr,281508054,5,7,../datasets/mnist,5.12952,0.8876,1.00152,784,0,2
qsr,335744559,6,7,../datasets/mnist,6.11779,0.9434,1.00033,784,0,2
qsr,61989516,1,8,../datasets/mnist,1.12955,0.038,1.44413,784,0,2
qsr,116880742,2,8,../datasets/mnist,2.12975,0.2085,1.1525,784,0,2
qsr,171637539,3,8,../datasets/mnist,3.12751,0.5349,1.03723,784,0,2
qsr,226574386,4,8,../datasets/mnist,4.12854,0.7673,1.00833,784,0,2
qsr,281500658,5,8,../datasets/mnist,5.12939,0.8862,1.00167,784,0,2
qsr,336630432,6,8,../datasets/mnist,6.13394,0.946,1.00032,784,0,2
qsr,391318511,7,8,../datasets/mnist,7.13044,0.9714,1.00008,784,0,2
qsr,61722387,1,9,../datasets/mnist,1.12468,0.0387,1.42287,784,0,2
qsr,116714306,2,9,../datasets/mnist,2.12672,0.2161,1.15268,784,0,2
qsr,172356969,3,9,../datasets/mnist,3.14062,0.53,1.03779,784,0,2
qsr,227301883,4,9,../datasets/mnist,4.1418,0.768,1.00796,784,0,2
qsr,282331370,5,9,../datasets/mnist,5.14452,0.8875,1.00171,784,0,2
qsr,337447363,6,9,../datasets/mnist,6.14882,0.944,1.00032,784,0,2
qsr,391884444,7,9,../datasets/mnist,7.14075,0.9751,1.00007,784,0,2
qsr,446192853,8,9,../datasets/mnist,8.13034,0.9866,1.00002,784,0,2
qsr,62174828,1,10,../datasets/mnist,1.13292,0.0412,1.42349,784,0,2
