method,size,lambda,depth,dataset,B,accuracy,distortion,dim,aspectRatio,blocks
qsr,165610860,1,2,../datasets/sift,1.28102,0.0638,1.38456,128,0,2
qsr,198489902,1,3,../datasets/sift,1.53535,0.0523,1.41801,128,0,2
qsr,298153752,2,3,../datasets/sift,2.30626,0.1851,1.15803,128,0,2
qsr,206116538,1,4,../datasets/sift,1.59434,0.0499,1.39555,128,0,2
qsr,333339139,2,4,../datasets/sift,2.57843,0.1941,1.15325,128,0,2
qsr,435975171,3,4,../datasets/sift,3.37233,0.4076,1.04871,128,0,2
qsr,210337147,1,5,../datasets/sift,1.62699,0.044,1.42919,128,0,2
qsr,340802361,2,5,../datasets/sift,2.63616,0.226,1.12555,128,0,2
qsr,466207039,3,5,../datasets/sift,3.60618,0.4525,1.03774,128,0,2
qsr,569131495,4,5,../datasets/sift,4.40232,0.6648,1.01115,128,0,2
qsr,215072088,1,6,../datasets/sift,1.66361,0.0429,1.42342,128,0,2
qsr,342117764,2,6,../datasets/sift,2.64633,0.231,1.12143,128,0,2
qsr,473199878,3,6,../datasets/sift,3.66027,0.488,1.03194,128,0,2
qsr,598046569,4,6,../datasets/sift,4.62598,0.7063,1.00825,128,0,2
qsr,705421027,5,6,../datasets/sift,5.45654,0.824,1.00272,128,0,2
qsr,219252134,1,7,../datasets/sift,1.69595,0.0538,1.38278,128,0,2
qsr,351703856,2,7,../datasets/sift,2.72048,0.2175,1.12792,128,0,2
qsr,478374949,3,7,../datasets/sift,3.7003,0.4824,1.03271,128,0,2
qsr,608868727,4,7,../datasets/sift,4.70969,0.6603,1.01124,128,0,2
qsr,731155115,5,7,../datasets/sift,5.65559,0.8499,1.00187,128,0,2
qsr,840474765,6,7,../datasets/sift,6.5012,0.9025,1.00071,128,0,2
qsr,221837930,1,8,../datasets/sift,1.71595,0.0515,1.37768,128,0,2
qsr,353220925,2,8,../datasets/sift,2.73222,0.217,1.12852,128,0,2
qsr,486761738,3,8,../datasets/sift,3.76517,0.4549,1.0379,128,0,2
qsr,611187004,4,8,../datasets/sift,4.72762,0.6948,1.00877,128,0,2
qsr,739320566,5,8,../datasets/sift,5.71875,0.8524,1.00178,128,0,2
qsr,863361548,6,8,../datasets/sift,6.67823,0.9218,1.00045,128,0,2
qsr,970760615,7,8,../datasets/sift,7.50898,0.9579,1.00015,128,0,2
qsr,231582248,1,9,../datasets/sift,1.79132,0.0335,1.49057,128,0,2
qsr,359742442,2,9,../datasets/sift,2.78266,0.2354,1.11888,128,0,2
qsr,488529973,3,9,../datasets/sift,3.77885,0.4728,1.03414,128,0,2
qsr,619839137,4,9,../datasets/sift,4.79455,0.7054,1.00838,128,0,2
qsr,741778185,5,9,../datasets/sift,5.73776,0.8646,1.00148,128,0,2
qsr,872452400,6,9,../datasets/sift,6.74855,0.9243,1.00041,128,0,2
qsr,995932060,7,9,../datasets/sift,7.70368,0.9596,1.00012,128,0,2
qsr,1106447130,8,9,../datasets/sift,8.55853,0.9764,1.00004,128,0,2
qsr,233385711,1,10,../datasets/sift,1.80527,0.0559,1.37207,128,0,2
qsr,359589626,2,10,../datasets/sift,2.78148,0.252,1.10534,128,0,2
qsr,488141595,3,10,../datasets/sift,3.77585,0.5401,1.02409,128,0,2
qsr,623857264,4,10,../datasets/sift,4.82563,0.6812,1.00971,128,0,2
qsr,747764027,5,10,../datasets/sift,5.78407,0.8543,1.00174,128,0,2
qsr,878974669,6,10,../datasets/sift,6.799,0.9204,1.00047,128,0,2
qsr,1008774617,7,10,../datasets/sift,7.80302,0.9554,1.00015,128,0,2
